アマランサス　玄穀,1,343,12.7,6,7.4,64.9,4,0.04,0.14,0.58,0,0,0,4.5,0,3.8,130,1.69,16,1,600,160,270,540,9.4,5.8,0.92,6.14,1,13,7,59
あわ　精白粒,1,346,11.2,4.4,3.3,69.7,0,0.56,0.07,0.18,0,0,0,2.8,0,6.4,29,1.83,14,1,300,14,110,280,4.8,2.5,0.49,0.88,0,2,1,22
あわ　あわもち,1,210,5.1,1.3,1.5,45.3,0,0.08,0.01,0.03,0,0,0,1.3,0,1.7,7,0.61,3.4,0,62,5,12,39,0.7,1.1,0.2,0.46,0,1,0,40
えんばく　オートミール,1,350,13.7,5.7,9.4,69.1,0,0.2,0.08,0.11,0,0,0,0.7,0,4.5,30,1.29,22,3,260,47,100,370,3.9,2.1,0.28,null,0,18,0,110
おおむぎ　七分つき押麦,1,343,10.9,2.1,10.3,72.1,0,0.22,0.07,0.14,0,0,0,0.3,0,5.8,17,0.43,null,2,220,23,46,180,1.3,1.4,0.32,0.85,null,null,null,null
おおむぎ　押麦　乾,1,329,6.7,1.5,12.2,78.3,0,0.11,0.03,0.13,0,0,0,0.1,0,5,10,0.4,2.7,2,210,21,40,160,1.1,1.1,0.22,0.86,0,1,0,11
おおむぎ　押麦　めし,1,118,2.2,0.5,4.2,28.5,0,0.02,0,0.03,0,0,0,0,0,1.3,3,0.13,0.8,0,38,6,10,46,0.4,0.4,0.08,0.24,0,0,0,3
おおむぎ　米粒麦,1,333,7,2.1,8.7,76.2,0,0.19,0.05,0.19,0,0,0,0.1,0,4,10,0.64,3.5,2,170,17,25,140,1.2,1.2,0.37,null,0,1,0,9
おおむぎ　大麦めん　乾,1,343,12.9,1.7,6.3,68,0,0.21,0.04,0.09,0,0,0,0,0,6.3,19,0.64,null,1100,240,27,63,200,2.1,1.5,0.33,0.9,null,null,null,null
おおむぎ　大麦めん　ゆで,1,121,4.8,0.6,2.5,24.3,0,0.04,0.01,0.01,0,0,0,0,0,2,5,0.26,null,64,10,12,18,61,0.9,0.6,0.13,0.27,null,null,null,null
おおむぎ　麦こがし,1,368,12.5,5,15.5,77.1,0,0.09,0.1,0.09,0,0,0,0.8,0,11,24,0.28,null,2,490,43,130,340,3.1,3.8,0.41,1.81,null,null,null,null
キヌア　玄穀,1,344,13.4,3.2,6.2,69,25,0.45,0.24,0.39,0,0,0,2.8,0,4,190,0.95,23,35,580,46,180,410,4.3,2.8,0.47,2.45,2,3,3,23
きび　精白粒,1,353,11.3,3.3,1.6,70.9,0,0.34,0.09,0.2,0,0,0,0.8,0,6.2,13,0.95,7.9,2,200,9,84,160,2.1,2.7,0.38,null,0,2,1,16
こむぎ　［玄穀］　国産　普通,1,329,10.8,3.1,14,72.1,0,0.41,0.09,0.35,0,0,0,1.8,0,8.9,38,1.03,7.5,2,440,26,82,350,3.2,2.6,0.38,3.9,1,3,1,29
こむぎ　［玄穀］　輸入　軟質,1,344,10.1,3.3,11.2,75.2,0,0.49,0.09,0.34,0,0,0,1.8,0,6.7,40,1.07,9.6,2,390,36,110,290,2.9,1.7,0.32,3.79,0,5,1,19
こむぎ　［玄穀］　輸入　硬質,1,332,13,3,11.4,69.4,0,0.35,0.09,0.34,0,0,0,1.8,0,8,49,1.29,11,2,340,26,140,320,3.2,3.1,0.43,4.09,0,54,1,47
こむぎ　［小麦粉］　薄力粉　1等,1,349,8.3,1.5,2.5,75.8,0,0.11,0.03,0.03,0,0,0,0.5,0,2.4,9,0.53,1.2,0,110,20,12,60,0.5,0.3,0.08,0.43,0,4,2,12
こむぎ　［小麦粉］　薄力粉　2等,1,345,9.3,1.9,2.6,74.3,0,0.21,0.04,0.09,0,0,0,0.5,0,2.9,14,0.62,2.5,0,130,23,30,77,0.9,0.7,0.18,0.77,0,3,2,14
こむぎ　［小麦粉］　中力粉　1等,1,337,9,1.6,2.8,75.1,0,0.1,0.03,0.05,0,0,0,0.5,0,2.4,8,0.47,1.5,1,100,17,18,64,0.5,0.5,0.11,0.43,0,7,0,9
こむぎ　［小麦粉］　中力粉　2等,1,346,9.7,1.8,2.1,74,0,0.22,0.04,0.07,0,0,0,1.2,0,3.1,12,0.66,2.6,1,110,24,26,80,1.1,0.6,0.14,0.77,0,7,2,10
こむぎ　［小麦粉］　強力粉　1等,1,337,11.8,1.5,2.7,71.7,0,0.09,0.04,0.06,0,0,0,0.5,0,3.1,16,0.77,1.7,0,89,17,23,64,0.9,0.8,0.15,0.32,0,39,1,26
こむぎ　［小麦粉］　強力粉　2等,1,343,12.6,1.7,2.1,70.6,0,0.13,0.04,0.08,0,0,0,0.7,0,3.6,18,0.93,2.6,0,86,21,36,86,1,1,0.19,0.58,0,49,1,30
こむぎ　［小麦粉］　強力粉　全粒粉,1,320,12.8,2.9,11.2,68.2,0,0.34,0.09,0.33,0,0,0,0.5,0,8.5,48,1.27,11,2,330,26,140,310,3.1,3,0.42,4.02,0,47,3,44
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,1,335,10.1,1.9,2.8,73.6,17,0.21,0.03,0.07,0.1,0,0.1,1.1,1,3.3,17,0.41,2.4,1400,210,64,31,320,1,0.7,0.13,0.92,1400,8,3,15
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,1,360,7.8,4,1.8,74.4,21,0.1,0.08,0.04,0.1,0,0.1,1,1,2.2,10,0.48,1.5,390,230,100,12,170,0.5,0.3,0.07,null,0,3,5,11
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,1,311,10.2,1.2,2.6,70,133,0.15,0.07,0.12,0,0,0,0.6,2,2.8,26,0.33,4.3,3800,280,110,39,130,1.2,0.7,0.1,0.96,1,6,6,23
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,1,337,8.8,1.3,2.5,76.1,10,0.12,0.99,0.06,0,0,0,0.5,0,2.7,12,0.35,1.3,210,160,140,19,120,0.6,0.5,0.12,0.62,1,3,2,10
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,1,132,3.3,0.5,1.9,30.2,81,0.04,0.16,0.02,0,0,0,0.2,0,1,3,0.19,0.5,64,67,84,6,51,0.2,0.1,0.04,0.2,1,1,1,3
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,1,588,4.3,47.7,3.3,37,2,0.05,0.14,0.03,0,0,null,8.2,81,1.3,4,0.21,0.7,79,93,100,8,63,0.3,0.1,0.04,0.26,0,1,2,4
こむぎ　［パン類］　角形食パン　食パン,1,248,8.9,4.1,4.2,46.4,8,0.07,0.05,0.03,0,0,0,0.9,0,2.6,30,0.42,2.3,470,86,22,18,67,0.5,0.5,0.09,0.25,1,22,1,15
こむぎ　［パン類］　角形食パン　焼き,1,269,9.7,4.5,4.6,50.6,0,0.07,0.05,0.03,null,0,null,0.9,null,2.9,30,0.45,2.2,520,93,26,20,77,0.5,0.6,0.1,0.28,1,25,1,17
